Uniprot ID,Log2(average_P/S)
Q8WUM0,10.3719059
P62917,9.667730185
Q8NFH3,9.605070654
Q9NVP1,9.56577111
Q8N7H5,9.189392865
Q8WUA4,9.121232927
Q8WVC0,9.007167546
P55884,8.62776762
Q9Y5Q8,7.997080103
Q13347,7.988217019
P55081,7.713330097
Q9UBU9,7.690744925
Q8IX01,7.650883269
O75643,7.646522622
Q8NAV1,7.631857951
Q9H269,7.601189815
O95400,7.600114167
Q6P158,7.576615417
Q9UJX5,7.574317933
Q5BKZ1,7.571874798
Q14764,7.545247933
Q9UPT8,7.53533844
Q9Y2X3,7.473817877
Q8WYQ5,7.399708309
Q9UNL2,7.379900088
Q96ST2,7.337887369
Q7L2E3,7.274471652
Q6PD62,7.243659825
P62995,7.215025918
Q96DI7,7.160440785
Q08211,7.125464573
Q96EE3,7.083656488
P04844,7.024761299
O94906,6.932295649
O00422,6.909666839
P57678,6.87361216
Q7Z4L5,6.774685793
Q14692,6.753332996
O15084,6.708057796
Q9Y580,6.684790045
Q96NB3,6.623796198
P62241,6.607333423
O60306,6.579393791
Q9GZS3,6.56161891
P62847,6.4820085
Q6P2E9,6.44130685
Q8N2M8,6.439891285
O43823,6.432182811
O75821,6.347950231
Q9Y5B9,6.305745435
Q8N8A6,6.29768881
P49711,6.284420178
Q6PL18,6.282902251
Q9HCS7,6.248818364
Q96T37,6.235886337
P49755,6.18857781
Q9Y2R4,6.181756253
Q9H1A4,6.16426282
Q9P2I0,6.162562039
Q9BUQ8,6.158647587
Q9P253,6.129239654
Q12873,6.067658336
O15372,6.035203649
O60287,5.996913014
Q6UXN9,5.991377624
Q8N201,5.987726783
Q99666,5.95789318
Q99575,5.953417064
Q9UKM9,5.952128702
P52948,5.951125767
Q9UHI6,5.933773912
P21980,5.922615813
Q15024,5.874967458
O15371,5.783198418
Q99613,5.748308161
Q9BQS8,5.735156249
P57740,5.733804791
O00566,5.712470875
O43290,5.678139298
Q13033,5.665068733
O94851,5.638583001
P61026,5.619665392
Q8NBZ0,5.592694237
Q13427,5.581335602
Q86Y91,5.578676118
Q5SY16,5.572704729
Q9Y312,5.56809687
Q9Y5S2,5.543621451
P62314,5.533063098
Q9HCE1,5.485040768
Q15061,5.467272494
Q96LT9,5.464040596
O00267,5.45492474
Q08379,5.452521806
Q9Y5Q9,5.449567807
P0C1Z6,5.427746886
Q12769,5.424719518
P04843,5.421147598
Q641Q2,5.415683232
O43172,5.405116802
P39023,5.39756884
O75962,5.396026083
P52756,5.380174045
Q9UDY2,5.377833295
Q9Y291,5.376532745
Q9NUL3,5.344125635
Q8NI35,5.330398439
Q5VYV7,5.317009191
Q9BZJ0,5.313086467
Q6UB99,5.306206286
Q5T5X7,5.304751662
Q9ULU4,5.304407615
P37275,5.303415704
Q96N67,5.293539205
Q7KZ85,5.288292561
Q9C0J8,5.26498921
P82675,5.243262329
P35240,5.225879458
O75494,5.221141231
P18621,5.198381503
O15160,5.196320118
Q9BZK7,5.190541461
P22087,5.151791132
Q9UKV3,5.142542851
Q13247,5.132129606
Q96S97,5.13107826
Q12797,5.125680271
Q14137,5.108571945
Q15393,5.105288558
O60832,5.077610753
Q8NEW0,5.074901847
Q9NXC5,5.074095477
Q6UWZ7,5.063538641
Q08170,5.05888041
Q8NC60,5.05262875
Q9NVM9,5.045260445
Q9UQR1,5.042148817
Q86U38,5.037565499
O95810,5.025769641
Q12789,5.008173437
Q9BRZ2,5.004536743
Q9NPI6,4.998136535
Q12899,4.986974958
Q12888,4.9806978
Q96S52,4.974267287
Q8IU60,4.965455924
Q16576,4.959261157
P46776,4.951867789
O43719,4.943306664
O00767,4.939614716
O95819,4.926007496
Q6NW34,4.925466462
Q1KMD3,4.923609665
Q9BYW2,4.920696087
Q15287,4.915231489
Q9UHB9,4.911840125
Q08945,4.906820886
P53618,4.897521573
Q16795,4.879690708
Q86X10,4.854611868
Q9NXF1,4.853990763
Q92889,4.845035633
Q9UBB9,4.843068663
Q9BZH6,4.823441852
O95613,4.819893339
Q96G21,4.81546162
Q12800,4.807429031
Q5VZL5,4.802421157
P17028,4.794051365
Q96RL1,4.787443261
Q9NQV6,4.77544371
A1L0T0,4.770237758
Q00839,4.760122118
Q9H0A0,4.758409491
Q9HC78,4.748608208
Q8TD26,4.72742142
Q4G0J3,4.720463559
Q3B726,4.717075568
Q96Q89,4.713311774
P84098,4.696980518
O75165,4.693868337
Q9BUJ2,4.693317008
Q99728,4.692250201
P51571,4.692109047
Q9H583,4.691827079
Q15573,4.684368315
Q9P0U4,4.675149571
Q9NU22,4.67374617
Q96R06,4.660017294
Q9H8H0,4.64751048
P62249,4.645241806
Q9H6F5,4.643787735
O60783,4.63528086
Q9Y262,4.630243832
Q9H4L4,4.628193036
O95365,4.616356788
P51991,4.607506458
Q9NWB6,4.60093255
P61019,4.593294988
Q8NEZ3,4.589308155
Q96JI7,4.582266582
Q9UL25,4.576711539
P36578,4.566871755
Q9HCG8,4.56011326
P46781,4.538313721
Q8NEY8,4.535499885
O00327,4.532205679
Q9GZR7,4.527065876
Q8N3X1,4.521539539
Q9Y6A4,4.521141683
Q66GS9,4.511021137
P07910,4.4888395
Q9UKF6,4.487034383
P46821,4.478573477
O95926,4.471491414
Q6UN15,4.468446363
O75386,4.465150068
Q9H792,4.463673525
Q5VWQ0,4.453026857
O15258,4.442305771
Q99996,4.427623834
Q63ZY3,4.422358103
P98175,4.420448778
O15027,4.415639927
P46777,4.41048595
P52434,4.41000916
O76094,4.403853288
Q92610,4.398495576
O95248,4.397848324
Q9UBL3,4.397800582
Q9P0V3,4.395287583
P62266,4.382038008
Q6NZY4,4.381530335
P30876,4.376545508
Q969T9,4.368582434
O75436,4.364015935
P28370,4.359297679
Q13151,4.355291921
Q6PI98,4.352834957
P24928,4.349298994
P48729,4.348286334
O60293,4.345794591
P35606,4.340137614
Q9BW83,4.337790029
O95707,4.334649994
P83731,4.332297797
Q8NCG7,4.316747657
O60231,4.304508724
Q92769,4.279670132
P46736,4.274028893
Q06265,4.265508363
P62269,4.264565771
Q75QN2,4.259476332
P49756,4.250869798
O14893,4.23863275
Q10471,4.226535386
O43660,4.217343443
P41212,4.216527702
Q5VUA4,4.208781945
P82921,4.203491576
P62701,4.195330371
Q8WVB6,4.195115766
Q9BU76,4.189608673
Q9UJV9,4.187096583
P30260,4.176698016
Q5BJF2,4.165669383
P24390,4.165248276
Q6PCB5,4.162692566
Q8WU76,4.157482227
Q8IWA0,4.147815575
Q15459,4.144627918
Q2NL82,4.115399382
Q13547,4.114898794
Q14146,4.112262389
Q6NZI2,4.10703637
O75533,4.104818593
Q96MX6,4.101959924
Q9ULR0,4.094866621
Q7Z5Y7,4.078257131
Q9BTC8,4.075047148
O75461,4.072310018
Q9UMN6,4.070314739
Q96RT7,4.069192949
Q8NEJ9,4.060597314
Q9NWV8,4.054608098
Q68CQ4,4.05457737
P08572,4.049339007
Q8N6F7,4.022681143
Q9NYP7,4.006708901
Q5JRA6,4.004340111
Q9NR30,3.999387226
Q14257,3.997354619
P15880,3.996019339
P49207,3.99440228
Q9Y2K1,3.987995479
P82094,3.978837273
Q8TEW0,3.973170254
Q5T1M5,3.970748677
Q6IN85,3.965612007
Q9BXF6,3.955529742
P62280,3.955260874
P55196,3.946150428
Q8WXD5,3.938875168
Q9BWU0,3.924004468
Q969F1,3.92086896
Q13796,3.920343031
Q99814,3.906424876
P49454,3.90494164
Q8TCT9,3.89991142
Q8TBA6,3.897743618
P61353,3.882874211
Q9C0K0,3.882174004
P54278,3.876735626
Q86VM9,3.872368463
O76021,3.863203264
Q07864,3.862068961
Q15650,3.857158401
P09651,3.854679243
Q8NEM2,3.851692677
Q9BXP5,3.847337288
Q9UKQ2,3.841815357
P78316,3.83926361
P82650,3.828704098
P19447,3.823548915
Q9NY93,3.817044055
P27708,3.816081352
Q96DF8,3.813054579
Q8IZL8,3.811829982
Q9BXP2,3.811671777
Q9NZB2,3.811104597
Q9Y2T2,3.796750541
O60264,3.779160747
Q8N567,3.777913956
O00743,3.774316505
Q96DT7,3.773694421
Q96AQ6,3.77092946
Q9Y2P8,3.750679159
Q7Z7H5,3.750021284
P61254,3.74933578
P61020,3.745423505
Q92614,3.737384371
Q9H9Y6,3.736636696
Q15029,3.717992023
Q8IWI9,3.710107541
Q9UKN8,3.696988142
Q13724,3.689684518
Q9Y678,3.669498991
Q9UG63,3.667972504
Q9BW27,3.666420015
P09132,3.664360434
Q49AG3,3.662624666
Q13435,3.660025401
Q9UMS4,3.658528154
O75691,3.646485567
Q9UJX6,3.635838782
Q9H4L7,3.634898705
Q96EZ8,3.629688787
Q86T03,3.623964048
O00712,3.621737744
P20340,3.613606711
Q8IWZ8,3.604164913
O95470,3.603431924
O94915,3.60096935
Q9Y450,3.599644806
P02751,3.593974084
P48730,3.589295023
P31689,3.588298223
P61803,3.586992099
P21127,3.579063806
